time,close,high,low,open,volumefrom,volumeto
2023-03-02 04:00:00,23540.86,23543.59,23476.89,23500.1,468.2,11005319.93
2023-03-02 05:00:00,23447.29,23544.02,23425.93,23540.86,675.5,15856765.52
2023-03-02 06:00:00,23443.82,23475.44,23393.14,23447.29,1059.69,24839513.99
2023-03-02 07:00:00,23394.57,23447.68,23351.34,23443.82,1259.88,29472723.74
2023-03-02 08:00:00,23446.02,23461.86,23359.98,23394.57,1016.04,23790684.3
2023-03-02 09:00:00,23404.79,23463.39,23399.3,23446.02,714.48,16745565.23
2023-03-02 10:00:00,23378.19,23418.54,23347.87,23404.79,886.85,20742019.64
2023-03-02 11:00:00,23417.18,23427.15,23366.6,23378.19,693.28,16219593.3
2023-03-02 12:00:00,23354.56,23431.93,23331.16,23417.18,999.21,23349920.83
2023-03-02 13:00:00,23303.79,23402.34,23286.25,23354.56,2553.5,59602558.25
2023-03-02 14:00:00,23312.43,23345.26,23212.33,23303.79,3244.29,75529481.68
2023-03-02 15:00:00,23370.08,23377.31,23287.11,23312.43,2126.23,49629271.06
2023-03-02 16:00:00,23280.6,23383.4,23264.92,23370.08,1605.39,37441086.12
2023-03-02 17:00:00,23272.15,23313.76,23239.71,23280.6,1559.42,36293069.87
2023-03-02 18:00:00,23447.51,23451.74,23264.11,23272.15,1856.63,43385123.01
2023-03-02 19:00:00,23466.97,23498.39,23398.56,23447.51,2265.9,53160127.5
2023-03-02 20:00:00,23464.08,23561.8,23433.48,23466.97,2439.28,57296998.05
2023-03-02 21:00:00,23420.65,23470.92,23397.59,23464.08,971.17,22762722.39
2023-03-02 22:00:00,23470.84,23552.21,23415.36,23420.65,1260.94,29628288.49
2023-03-02 23:00:00,23467.22,23503.18,23439.29,23470.84,1123.83,26377568.61
2023-03-03 00:00:00,23422.33,23476.96,23410.91,23467.22,903.23,21170709.28
2023-03-03 01:00:00,22248.74,23423.18,22147.42,23422.33,14309.04,322487887.99
2023-03-03 02:00:00,22379.97,22458.14,22212.74,22248.74,4998.11,111638984.98
2023-03-03 03:00:00,22348.17,22412.31,22324.02,22379.97,2835.0,63382010.4
